lat,lon,sst,NO3,O2,PP,density_WOA_clim,PO4,phosphate_WOA_clim,NH4_darwin_clim,Fe,sss,prochloro_abundance,prochloro_abundance_prediction
-1.497859333882299,-1.902541369898398,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4978689563675038,-1.9025722513165542,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4978882013379138,-1.9026031327347106,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4978978238231189,-1.9026031327347106,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979170687935288,-1.9026340141528582,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979266912787341,-1.9026648955710146,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979363137639385,-1.9026648955710146,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979459362491436,-1.9026957769891708,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979555587343485,-1.9027266584073272,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979748037047584,-1.9027575398254837,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4979940486751688,-1.90278842124364,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980036711603737,-1.9028193026617963,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980132936455788,-1.9028193026617963,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980229161307836,-1.9028193026617963,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
