lat,lon,sst,NO3,O2,PP,density_WOA_clim,PO4,phosphate_WOA_clim,NH4_darwin_clim,Fe,sss,prochloro_abundance,prochloro_abundance_prediction
-2.0982422442125372,-3.5977909402500314,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0968112863768864,-3.56564532587374,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0951601811819054,-3.5304382244143437,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.093729223346255,-3.4967618664967173,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.092279919897327,-3.458493277953782,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.090812270835122,-3.4217554329521813,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.089344621772917,-3.388079075034555,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0878769727107107,-3.3544027171164936,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.086390978035228,-3.320726359198867,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.084904983359745,-3.2916422319061143,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0834189886842616,-3.265619591696901,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0819513396220573,-3.2395969514876874,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.080483690559851,-3.2089820806527305,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.079016041497646,-3.1783672098190783,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0775300468221625,-3.147752338984556,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.0760807433732347,-3.118668211691803,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.1886492146487244,-0.6905969090404231,-0.688676164426183,0.824877748154268,2.73656100341494,0.5230529789537658,0.0,24.896008215246766
-2.074631439924307,-3.089584084399486,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.0173332846501153,-0.6905969090404231,-0.6903527865855295,0.941623773827287,2.73656100341494,0.5230529789537658,0.0,37.8431551554561
-2.0731454452488243,-3.062030700648503,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.0173332846501153,-0.6905969090404231,-0.6903527865855295,0.941623773827287,2.73656100341494,0.5230529789537658,0.0,37.8431551554561
-2.071824561092839,-3.0360080604392894,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.0173332846501153,-0.6905969090404231,-0.6903527865855295,0.941623773827287,2.73656100341494,0.5230529789537658,0.0,37.8431551554561
-2.071824561092839,-3.0360080604392894,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.0173332846501153,-0.6905969090404231,-0.6903527865855295,0.941623773827287,2.73656100341494,0.5230529789537658,0.0,37.8431551554561
-2.071824561092839,-3.0360080604392894,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.0173332846501153,-0.6905969090404231,-0.6903527865855295,0.941623773827287,2.73656100341494,0.5230529789537658,0.0,37.8431551554561
-2.071824561092839,-3.0360080604392894,1.4890253401098281,-1.0626292912878414,-1.4093966827600144,-1.293026725746726,-2.0173332846501153,-0.6905969090404231,-0.6903527865855295,0.941623773827287,2.73656100341494,0.5230529789537658,0.0,37.8431551554561
