time,lat,lon,depth,MIT9313PCR_Chisholm,MIT9313PCR_Chisholm_std,TQPCR_MED4_MIT9312_MIT9211_NATL2A_SS120_MIT9313_Chisholm,TQPCR_MED4_MIT9312_MIT9211_NATL2A_SS120_MIT9313_Chisholm_std,MIT9312PCR_Chisholm,MIT9312PCR_Chisholm_std,MED4PCR_Chisholm,MED4PCR_Chisholm_std,NATL2APCR_Chisholm,NATL2APCR_Chisholm_std,SS120PCR_Chisholm,SS120PCR_Chisholm_std,sbact_Chisholm,sbact_Chisholm_std,temp_C_AMT13,temp_C_AMT13_std,Light_Quanta_m2_sec_AMT13,Light_Quanta_m2_sec_AMT13_std,chlA_AMT13,chlA_AMT13_std,nitrate_WOA_clim,nitrate_WOA_clim_std,phosphate_WOA_clim,phosphate_WOA_clim_std,silicate_WOA_clim,silicate_WOA_clim_std
2003-09-15T09:47:00.000Z,46.691,-17.004,203.956,1.0,,15.773828275,,1.0,,10.07784875,,1.695979525,,1.0,,0.0002,,12.5884,,0.031516,,0.010000249,,9.710700988769531,,0.5848659873008728,,3.7735848426818848,
2003-09-16T11:22:00.000Z,43.044,-19.622,15.623,1.0,,91790.7827674999,,56.2005675,,91394.51,,337.0722,,1.0,,0.034333333333333334,,19.7199,,38.100793,,0.048883384,,0.08763223886489868,0.025647811385152645,0.07621421292424202,0.002539921873592326,1.0721389055252075,0.0037487092939529586
2003-09-16T11:22:00.000Z,43.044,-19.622,21.937,1.0,,174813.364235,,66.50246,,174335.4,,408.461775,,1.0,,0.01506666666666667,,19.6173,,26.753232,,0.050072802,,0.15684691816568375,0.07223652679732193,0.08376143872737885,0.008133467215495948,1.0618491768836975,0.01080316450400938
2003-09-16T11:22:00.000Z,43.044,-19.622,31.714,1.0,,173009.14787,,63.28062,,171700.65,,1242.21725,,1.0,,0.0224,,19.2129,,19.186671,,0.061798721,,0.4128092974424362,0.11677098373964598,0.09977158904075623,0.009690761657837098,1.1473081707954407,0.03994265262747129
2003-09-16T11:22:00.000Z,43.044,-19.622,51.819,1.15355275,,44662.42122775,,17.829175,,33533.1675,,11108.271,,1.0,,0.1079333333333333,,16.0242,,6.020174,,0.36964295,,1.4990379810333252,0.37432622352514106,0.17608273029327393,0.02021227984667243,1.4236964583396912,0.0742759811866277
2003-09-16T11:22:00.000Z,43.044,-19.622,61.873,28.64728,,33253.6979384999,,3.9559085,,8332.20475,,24886.89,,1.0,,0.11166666666666669,,14.5389,,2.683631,,0.4062231,,2.629938244819641,0.4455098904365245,0.23946985602378845,0.026244589686642648,1.6620630025863647,0.1010662882677894
2003-09-16T11:22:00.000Z,43.044,-19.622,76.916,105.0111525,,3406.9750633,,0.1228108,,207.21635,,3092.62475,,1.0,,0.041,,13.893,,1.365826,,0.20989334,,4.899595499038696,0.5483186980091483,0.3599512130022049,0.023031040001656768,2.1684945821762085,0.09331632576360621
2003-09-16T11:22:00.000Z,43.044,-19.622,102.123,23.669525,,324.895425,,1.0,,34.6864,,263.5395,,1.0,,0.007933333333333334,,13.4552,,0.413287,,0.089125295,,7.378300666809082,,0.4589058458805084,,2.659809112548828,
2003-09-16T11:22:00.000Z,43.044,-19.622,152.744,1.0,,40.641929,,1.0,,31.906725,,4.735204,,1.0,,0.0012,,13.1032,,0.094513,,0.019999645,,8.271716117858887,,0.5185542702674866,,3.0619218349456787,
2003-09-16T11:22:00.000Z,43.044,-19.622,202.468,1.0,,15.4173289999999,,1.0,,9.4228455,,1.9944835,,1.0,,0.0008,,12.8911,,0.029913,,0.010047681,,8.706389427185059,,0.5559885501861572,,3.4591870307922363,
2003-09-17T10:50:00.000Z,39.443,-21.544,9.834,1.0,,58878.653440475,,272.162575,,58600.445,,3.045865475,,1.0,,0.05113333333333333,,23.0244,,47.96148,,0.027998908,,0.030394479632377625,3.757654962549396e-05,0.006469679297879338,0.0006342326911092672,1.3568769097328186,0.05841578491719019
2003-09-17T10:50:00.000Z,39.443,-21.544,21.825,1.0,,41508.54569975,,388.19105,,41113.2225,,4.13214975,,1.0,,0.04486666666666667,,22.7749,,28.250752,,0.029973636,,0.03624110110104084,0.005953777090304264,0.013847037684172392,0.006337282460161525,1.3969860076904297,0.00019724725103098406
2003-09-17T10:50:00.000Z,39.443,-21.544,37.047,1.0,,77880.547875,,236.771275,,77065.9775,,574.7991,,1.0,,0.03333333333333333,,19.8877,,15.217958,,0.048942976,,0.05672886036336422,0.0008525754276367157,0.023611871525645256,0.0027232079810540766,1.4561828970909119,0.0099904046773253
2003-09-17T10:50:00.000Z,39.443,-21.544,57.093,1.0,,34283.389357,,6.828357,,12123.6785,,22149.8825,,1.0,,0.33626666666666655,,15.6279,,5.212342,,0.21740724,,0.6915466040372849,0.28889702718419674,0.06807626783847809,0.016943149005212807,1.6479521989822388,0.054428945929150686
2003-09-17T10:50:00.000Z,39.443,-21.544,66.974,0.75334975,,28922.47248275,,6.957883,,6134.41875,,22778.3425,,1.0,,0.15406666666666669,,15.2028,,2.579775,,0.74676226,,1.7994717955589294,0.47807583305022505,0.13775543868541718,0.03277960606222655,1.8345985412597656,0.09518747725009587
2003-09-17T10:50:00.000Z,39.443,-21.544,82.153,13.4334595,,6540.41094265,,0.34562565,,77.9216075,,6446.71025,,1.0,,0.022,,14.8551,,0.867322,,0.32117909,,3.913657069206238,0.43402167105681905,0.24965916574001312,0.025714445552648367,2.142617106437683,0.06295373609635815
2003-09-17T10:50:00.000Z,39.443,-21.544,100.611,16.597834,,1657.00619074999,,1.0,,13.46435675,,1623.944,,1.0,,0.005920177383592018,,14.6195,,0.408277,,0.11856266,,5.458139896392822,,0.3530604839324951,,2.424020528793335,
2003-09-17T10:50:00.000Z,39.443,-21.544,153.104,1.04632875,,55.16362925,,1.0,,7.6061305,,43.51117,,1.0,,0.0008647450110864745,,14.1225,,0.070498,,0.029737748,,6.769440650939941,,0.4415386915206909,,2.8404786586761475,
2003-09-17T10:50:00.000Z,39.443,-21.544,203.896,1.0,,7.76336595,,1.0,,1.4894382,,2.27392775,,1.0,,0.00033333333333333343,,13.6511,,0.021176,,0.010025946,,7.510915756225586,,0.4954645335674286,,3.455087900161743,
2003-09-18T00:54:00.000Z,38.167,-24.701,1.708,1.0,,108616.0939475,,1990.3495,,106599.5825,,23.1619475,,1.0,,0.12326666666666669,,23.4474,,100.0,,0.029999991,,0.04426171910017729,0.022215299602529555,0.0576704703271389,0.00217004113106072,1.378321647644043,0.2681480282951624
2003-09-18T00:54:00.000Z,38.167,-24.701,16.611,1.0,,87115.50218325,,1429.94815,,85664.3,,18.25403325,,1.0,,0.1192,,23.3991,,33.017164,,0.029931991,,0.022409440018236637,0.007900622999630465,0.0521084051579237,0.0004340414168553464,1.4841082096099854,0.0026431131638151866
2003-09-18T00:54:00.000Z,38.167,-24.701,27.845,1.0,,113183.679224999,,986.815475,,110820.9,,1372.96375,,1.0,,0.06906666666666667,,21.2935,,23.902949,,0.043193209,,0.0509933065623045,0.010794216201234911,0.05912165157496929,0.00269358138072895,1.5507328510284424,0.034439875792191946
2003-09-18T00:54:00.000Z,38.167,-24.701,52.034,15.0476345,,62237.6392595,,18.361625,,15504.8325,,46697.3975,,1.0,,0.17333333333333328,,15.9702,,6.640609,,0.29832721,,0.3905625492334366,0.18911550129956495,0.07736415416002274,0.00444061303253205,1.6961185336112976,0.01343649959897004
2003-09-18T00:54:00.000Z,38.167,-24.701,61.965,84.666685,,37784.0082749999,,4.62434,,2625.90475,,35066.8125,,1.0,,0.04953333333333333,,15.3702,,2.772716,,0.52007722,,1.0843759179115295,0.3846934210281538,0.11473618447780609,0.023384525620117634,1.7684423923492432,0.03944776433225638
2003-09-18T00:54:00.000Z,38.167,-24.701,77.312,42.009985,,12779.09224575,,1.81241075,,297.31435,,12435.9555,,1.0,,0.01381535038932147,,15.1624,,1.11802,,0.21358498,,3.014023542404175,0.4586602129341056,0.21524813771247864,0.023801463319011652,1.9824427366256714,0.046713375253352375
2003-09-18T00:54:00.000Z,38.167,-24.701,92.477,54.5396375,,6159.0917475,,1.0,,89.59436,,6011.95775,,1.0,,0.0038666666666666667,,14.9963,,0.667332,,0.11013694,,4.545546293258667,0.2448607143811351,0.3152278810739517,0.02089191885233485,2.142276883125305,0.017007264898510004
2003-09-18T00:54:00.000Z,38.167,-24.701,122.711,5.023954,,173.113282,,1.0,,5.833523,,159.255805,,1.0,,0.0007333333333333332,,14.7882,,0.232438,,0.029191135,,5.5729146003723145,,0.35084185004234314,,2.637648820877075,
2003-09-18T00:54:00.000Z,38.167,-24.701,203.212,1.0,,46.317625,,1.0,,14.3116175,,28.0060075,,1.0,,0.0001333333333333333,,14.0465,,0.03163,,0.02036242,,6.801137447357178,,0.5710999369621277,,3.803896188735962,
2003-09-19T03:24:00.000Z,34.683,-22.993,2.617,1.0,,151365.9184335,,117649.7225,,33683.81,,29.3859335,,1.0,,0.0152112676056338,,25.1102,,100.0,,0.019502935,,0.018267772626131773,0.008025687845685971,0.02053811587393284,0.009435465025516454,1.014876663684845,0.039571086010999255
2003-09-19T03:24:00.000Z,34.683,-22.993,14.928,1.0,,201499.310451275,,173737.35,,27754.3325,,3.594942525,,1.0,,0.02254777070063694,,25.1209,,40.110122,,0.018985019,,0.010195300681516528,0.005702267418176774,0.0323029849678278,0.0025739844297232245,0.7809635102748871,0.024573087821549103
2003-09-19T03:24:00.000Z,34.683,-22.993,24.018,1.02682275,,208944.641081499,,173544.4,,35389.9575,,6.94658925,,1.3101695,,0.018375,,25.0992,,29.150598,,0.025541589,,0.009567487053573132,0.0017698172917793025,0.03625846095383167,0.0011551107746039769,0.8253703713417053,0.0049115408443685254
2003-09-19T03:24:00.000Z,34.683,-22.993,40.494,1.0,,105896.950533,,8494.155,,96791.9325,,607.925075,,0.937958,,0.01112462006079027,,21.2364,,16.42333,,0.040058028,,0.026873410679399967,0.010461394392345525,0.03421567380428314,0.0007640169963812316,0.8936695754528046,0.005884163667454426
2003-09-19T03:24:00.000Z,34.683,-22.993,68.221,5.45887425,,68083.745668,,84.748915,,26589.2875,,41397.3225,,5.92787875,,0.0164,,17.2479,,5.945544,,0.079876147,,0.3116254210472107,0.034248697687346535,0.04502579942345619,0.0018277876477280053,0.9756565093994141,0.004605470430482412
2003-09-19T03:24:00.000Z,34.683,-22.993,88.301,138.953725,,21744.836351035,,24.05932,,780.11995,,20799.7425,,0.960856034999999,,0.005666666666666666,,16.3299,,2.42063,,0.19092878,,0.7194256484508514,0.08474268739897461,0.06817281246185303,0.006069925902266192,1.0454305410385132,0.02000913203684992
2003-09-19T03:24:00.000Z,34.683,-22.993,108.47,471.4615,,5500.715618,,11.10372475,,37.189195,,4978.90825,,1.05294825,,0.0008666666666666667,,15.7366,,1.04334,,0.10021385,,,,,,,
2003-09-19T03:24:00.000Z,34.683,-22.993,154.013,6.25122525,,67.7629385,,5.4005115,,8.53397175,,44.813025,,1.8265235,,0.00033333333333333343,,14.9689,,0.262941,,0.019904863,,2.7670795917510986,,0.1973685622215271,,1.7665226459503174,
2003-09-19T03:24:00.000Z,34.683,-22.993,203.323,1.4504155,,48.02658425,,14.577415,,10.679849,,19.75311025,,0.5657945,,6.659267480577136e-05,,14.6052,,0.083947,,0.0099423099,,3.999629497528076,,0.3562812805175781,,1.9828683137893677,
2003-09-19T10:53:00.000Z,33.493,-22.108,16.514,1.0,,109868.01075775,,103615.905,,6247.145,,1.96075775,,1.0,,0.01426666666666667,,25.2342,,35.331942,,0.0099987901,,0.006231495877727866,0.0006379896875273086,0.040511416271328926,0.0025481484115860466,0.7074081599712372,0.018049767196426966
