lat,lon
28.43,-124.4
27.06,-126.67
21.74,-135.31
19.63,-138.61
17.67,-140.16
13.95,-140
10.7,-140
8.39,-140
4.76,-139.98
1.12,-140
0.26,-139.86
-2.44,-140
0.12,-141.91
3.52,-144.44
6.49,-146.65
9.24,-148.69
11.91,-150.69
14.77,-152.86
